T_C,j_A_cm2,error_V,valid
5.5,1.4547819428736743e-05,0.00011444774261049062,True
5.5,1.700060064094805e-05,0.00012183905768448078,True
5.5,1.9866923944772957e-05,0.00012765523537328072,True
5.5,2.3216513072880598e-05,0.0001321503896092313,True
5.5,2.7130847269642384e-05,0.0001355771902187275,True
5.5,3.170514328564207e-05,0.0001381625862508784,True
5.5,3.705067153902942e-05,0.00014009805810366593,True
5.5,4.329746278468033e-05,0.00014153860802990081,True
5.5,5.0597471131285437e-05,0.00014260618767436561,True
5.5,5.9128270347219716e-05,0.00014339484411518555,True
5.5,6.909737336837289e-05,0.00014397607781457822,True
5.5,8.074728008059909e-05,0.00014440369339796533,True
5.5,9.436137616482962e-05,0.00014471788016146014,True
5.5,0.00011027082649511832,0.00014494849622148642,True
5.5,0.00012886263077253266,0.00014511763734614824,True
5.5,0.00015058903734935916,0.00014524160801077102,True
5.5,0.00017597854423627313,0.00014533241379943718,True
5.5,0.0002056487548935761,0.00014539888085907116,True
5.5,0.00024032140152549899,0.0001454474900244307,True
5.5,0.00028083990132139714,0.00014548299535821485,True
5.5,0.00032818987270196787,0.00014550888122788486,True
5.5,0.0003835231106311733,0.00014552769920295194,True
5.5,0.0004481856041968269,0.00014554131589661345,True
5.5,0.0005237502779915854,0.00014555109501623864,True
5.5,0.0006120552537332152,0.00014555803092886066,True
5.5,0.0007152485628436249,0.00014556284653566287,True
5.5,0.0008358403976266819,0.0001455660649126722,True
5.5,0.0009767641720623372,0.00014556806166610148,True
5.5,0.0011414478775297805,0.00014556910311946947,True
5.5,0.0013338974691980096,0.0001455693740752828,True
5.5,0.0015587943114699354,0.00014556899790807432,True
5.5,0.0018216090528546738,0.00014556805098742132,True
5.5,0.0021287347002908923,0.00014556657290265562,True
5.5,0.0024876421299735775,0.000145564573553858,True
5.5,0.0029070618175077593,0.00014556203788063105,True
5.5,0.003397196208001707,0.00014555892878087562,True
5.5,0.003969967892033094,0.00014555518861525396,True
